name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
Maruti Swift Dzire VDI,2014,450000,145500,6,10,6,11,23.4,1248,74,5
Skoda Rapid 1.5 TDI Ambition,2014,370000,120000,6,10,6,12,21.14,1498,103.52,5
Honda City 2017-2020 EXi,2006,158000,140000,6,10,6,11,17.7,1497,78,5
Hyundai i20 Sportz Diesel,2010,225000,127000,6,10,6,11,23,1396,90,5
Maruti Swift VXI BSIII,2007,130000,120000,6,10,6,11,16.1,1298,88.2,5
Hyundai Xcent 1.2 VTVT E Plus,2017,440000,45000,6,10,6,11,20.14,1197,81.86,5
Maruti Wagon R LXI DUO BSIII,2007,96000,175000,3,10,6,11,17.3,1061,57.5,5
Maruti 800 DX BSII,2001,45000,5000,6,10,6,12,16.1,796,37,4
Toyota Etios VXD,2011,350000,90000,6,10,6,11,23.59,1364,67.1,5
Ford Figo Diesel Celebration Edition,2013,200000,169000,6,10,6,11,20,1399,68.1,5
Renault Duster 110PS Diesel RxL,2014,500000,68000,6,10,6,12,19.01,1461,108.45,5
Maruti Zen LX,2005,92000,100000,6,10,6,12,17.3,993,60,5
Maruti Swift Dzire VDi,2009,280000,140000,6,10,6,12,19.3,1248,73.9,5
Maruti Swift 1.3 VXi,2007,200000,80000,6,10,6,12,0,0,0,0
Maruti Wagon R LXI Minor,2009,180000,90000,6,10,6,12,18.9,1061,67,5
Mahindra KUV 100 mFALCON G80 K8 5str,2016,400000,40000,6,10,6,11,18.15,1198,82,5
Maruti Ertiga SHVS VDI,2016,778000,70000,6,10,6,12,24.52,1248,88.5,7
Hyundai i20 1.4 CRDi Asta,2012,500000,53000,6,10,6,12,23,1396,90,5
Maruti Alto LX,2002,150000,80000,6,10,6,12,19.7,796,46.3,5
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,680000,100000,6,10,6,11,22.54,1396,88.73,5
Mahindra Verito 1.5 D4 BSIII,2011,174000,100000,6,10,6,12,21,1461,64.1,5
Honda WR-V i-DTEC VX,2017,950000,50000,6,10,6,11,25.5,1498,98.6,5
Maruti Swift Dzire ZDI,2015,525000,40000,6,10,6,11,26.59,1248,74,5
Maruti SX4 ZDI,2012,600000,72000,6,10,6,11,21.5,1248,88.8,5
Tata Tigor 2017-2020 XZ,2018,500000,35000,6,10,6,11,20.3,1199,83.81,5
Maruti Baleno Delta 1.2,2016,575000,45000,6,10,6,11,21.4,1197,83.1,5
Maruti Alto 800 LXI,2017,275000,28000,6,10,6,11,24.7,796,47.3,5
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,300000,70000,6,10,6,11,18.2,1248,73.8,7
Maruti Wagon R LXI Minor,2009,220000,120000,6,10,6,11,18.9,1061,67,5
Maruti Omni E MPI STD BS IV,2018,254999,25000,6,10,6,11,16.8,796,34.2,8
Maruti Vitara Brezza LDi Option,2017,670000,70000,6,10,6,11,24.3,1248,88.5,5
Fiat Palio 1.2 ELX,2003,70000,50000,6,10,6,12,0,0,0,0
Maruti Omni 8 Seater BSIV,2012,150000,35000,6,10,6,12,14,796,35,5
Hyundai i20 1.2 Asta Dual Tone,2018,730000,2388,6,10,6,11,18.6,1197,81.83,5
Maruti Vitara Brezza LDi,2017,650000,16200,6,10,6,11,24.3,1248,88.5,5
Maruti Alto 800 CNG LXI Optional,2019,330000,10000,3,10,6,12,33.44,796,40.3,4
Maruti Alto K10 VXI Airbag,2019,366000,15000,6,10,6,11,23.95,998,67.1,5
Hyundai Verna VTVT 1.6 SX Option,2019,1149000,5000,6,10,6,11,17,1591,121.3,5
Datsun GO D,2016,150000,42000,6,10,6,11,20.63,1198,67,5
Tata Safari DICOR 2.2 LX 4x2,2011,425000,60000,6,10,6,12,13.93,2179,138.03,7
Maruti 800 Std,2012,150000,76000,6,10,6,11,16.1,796,37,4
Jeep Compass 1.4 Limited Plus BSIV,2019,2100000,5000,6,10,9,11,16,1368,160.77,5
Honda City i VTEC VX,2018,925000,28900,6,6,6,11,17.8,1497,117.3,5
Honda City V MT,2013,425000,86300,6,6,6,11,16.8,1497,116.3,5
Maruti Swift Dzire VXi AT,2018,675000,23300,6,6,9,11,18.5,1197,83.14,5
Maruti Vitara Brezza VDi,2018,819999,32600,6,6,6,11,24.3,1248,88.5,5
Maruti Alto K10 VXI,2018,390000,10300,6,6,6,11,23.95,998,67.05,5
Toyota Fortuner 4x4 MT,2014,1500000,77000,6,6,6,11,12.55,2982,168.5,7
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,700000,99000,6,6,6,11,12.99,2494,100,7
Mercedes-Benz B Class B180,2014,1450000,27800,6,6,9,12,14.8,2143,120.7,5
Honda Amaze S Diesel,2015,425000,49800,6,6,6,11,24.7,1498,98.63,5
Mitsubishi Pajero Sport 4X4,2013,1090000,151000,6,6,6,11,13.5,2477,175.56,7
Honda City i DTEC S,2015,600000,54700,6,6,6,11,26,1498,98.6,5
Maruti Ciaz Zeta,2018,850000,64000,6,6,6,11,20.65,1462,103.25,5
Honda Jazz VX Diesel,2015,525000,63000,6,6,6,11,27.3,1498,98.6,5
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1650000,127700,6,6,9,12,11.36,2755,171.5,7
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,950000,99000,6,6,6,11,12.99,2494,100.6,7
Audi A6 2.0 TDI Technology,2013,1750000,33900,6,6,9,12,17.68,1968,174.33,5
Toyota Corolla Altis 1.8 VL CVT,2018,1590000,25000,6,6,9,11,14.28,1798,138.03,5
Audi A6 2.0 TDI  Design Edition,2013,1689999,50000,6,6,9,11,18.53,1968,187.74,5
Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,6,6,9,11,14.84,2143,170,5
Tata Manza ELAN Quadrajet BS IV,2011,265000,120000,6,10,6,11,21.12,1248,88.8,5
Hyundai i10 Magna,2011,190000,110000,6,10,6,11,20.36,1197,78.9,5
Hyundai i20 Asta 1.4 CRDi,2013,425000,60000,6,10,6,11,21.27,1396,88.76,5
Maruti Swift Dzire ZDI,2015,630000,147000,6,10,6,12,26.59,1248,74,5
Ford Figo 1.2P Titanium MT,2017,600000,25000,6,10,6,11,18.16,1196,86.8,5
Maruti Baleno Delta 1.2,2019,650000,30000,6,10,6,11,21.4,1197,83.1,5
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,540000,40000,6,10,6,11,22,1498,108.495,5
Honda City i DTEC VX,2015,630000,135000,6,10,6,11,25.1,1498,98.6,5
Maruti Wagon R AMT VXI,2018,448000,30000,6,10,9,11,20.51,998,67,5
Volkswagen Ameo 1.5 TDI Comfortline,2017,500000,80000,6,10,6,11,21.66,1498,108.62,5
Maruti Vitara Brezza VDi,2016,745000,70000,6,10,6,11,24.3,1248,88.5,5
Maruti Vitara Brezza ZDi Plus AMT,2019,1025000,9850,6,10,9,11,24.3,1248,88.5,5
Hyundai i10 Magna,2011,235000,60000,6,10,6,12,20.36,1197,78.9,5
Maruti Swift VDI Deca,2016,630000,70000,6,10,6,11,25.2,1248,74,5
Toyota Fortuner 4x4 MT,2015,1700000,78000,6,10,6,12,12.55,2982,168.5,7
Maruti Swift Star VDI,2013,450000,120000,6,10,6,12,22.9,1248,74,5
Maruti Ertiga ZXI,2012,450000,120000,6,10,6,12,16.02,1373,93.7,7